Job Titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Key Skills to Maintain,How to Be AI-Proof,Time to Disruption,AI Impact Assessment
Restaurant Host,50%,36,300,0.12,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",7-10 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Child Life Specialist,50%,452,1561,0.2895579756566304,Sales & Marketing,,,7-10 years,
Early Intervention Specialist,50%,418,1440,0.2902777777777778,Hospitality,,,7-10 years,
Interior Decorator,50%,408,1792,0.2276785714285714,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",7-10 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Criminal Analyst,50%,470,1602,0.2933832709113608,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",7-10 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Evidence Technician,50%,380,1370,0.2773722627737226,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",7-10 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Loss Prevention Investigator,50%,390,1376,0.2834302325581395,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",7-10 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Private Investigator,49%,63,395,0.1594936708860759,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Safety Supervisor,48%,160,1652,0.0968523002421307,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Security Coordinator,48%,148,1607,0.0920970752955818,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Automotive Service Technician,48%,166,722,0.2299168975069252,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Broadband Technician,48%,391,1695,0.2306784660766961,Sales & Marketing,,,10-12 years,
Computer Systems Analyst,48%,549,2019,0.2719167904903417,Hospitality,,,10-12 years,
Control Engineer,48%,473,1839,0.2572050027188689,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Embedded Engineer,48%,477,1899,0.2511848341232227,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Help Desk Administrator,48%,599,2279,0.2628345765686705,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Help Desk Analyst,48%,603,2284,0.2640105078809107,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Integration Developer,48%,503,1957,0.257026060296372,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
It Recruiter,47%,489,1602,0.3052434456928839,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,7-10 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Junior Web Developer,47%,526,2020,0.2603960396039604,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Linux Administrator,46%,483,1856,0.2602370689655172,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Middleware Engineer,46%,488,1923,0.2537701508060322,Sales & Marketing,,,10-12 years,
Network Security Analyst,45%,591,2171,0.2722247812068171,Hospitality,,,10-12 years,
Operations Engineer,45%,186,1833,0.1014729950900163,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Sas Analyst,45%,173,1731,0.0999422299248989,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Sas Programmer,45%,177,1743,0.1015490533562822,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Senior Systems Administrator,45%,186,1836,0.1013071895424836,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Sharepoint Developer,45%,174,1779,0.0978077571669477,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Technical Support,45%,204,2014,0.1012909632571996,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Technical Support Agent,45%,204,2014,0.1012909632571996,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Technical Support Representative,45%,204,2014,0.1012909632571996,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Technology Specialist,45%,199,1930,0.1031088082901554,Sales & Marketing,,,10-12 years,
Virtualization Engineer,45%,168,1752,0.0958904109589041,Hospitality,,,10-12 years,
Wireless Consultant,45%,189,1866,0.1012861736334405,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Financial Planning Analyst,45%,640,2256,0.2836879432624113,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Kyc Analyst,45%,545,1794,0.3037904124860646,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",7-10 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Product Analyst,45%,212,1922,0.1103017689906347,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Research Technician,45%,188,1803,0.1042706600110926,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Sap Analyst,45%,177,1751,0.1010850942318675,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Clinical Data Manager,45%,739,2535,0.2915187376725838,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Enterprise Data Architect,45%,560,2069,0.2706621556307395,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Junior Data Analyst,45%,699,2417,0.289201489449731,Sales & Marketing,,,10-12 years,
Oracle Database Administrator,45%,184,1823,0.1009325287986834,Hospitality,,,10-12 years,
Senior Data Analyst,45%,198,1846,0.1072589382448537,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Windows Server Administrator,45%,183,1795,0.1019498607242339,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Digital Designer,45%,765,2778,0.275377969762419,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Visual Designer,45%,182,1753,0.1038220193953223,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Recruiter,45%,222,2034,0.1091445427728613,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Recruitment Specialist,45%,219,2009,0.1090094574415131,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Senior Recruiter,45%,217,2002,0.1083916083916083,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Paralegal Assistant,45%,192,1856,0.1034482758620689,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Patent Paralegal,45%,189,1813,0.1042471042471042,Sales & Marketing,,,10-12 years,
Personal Injury Paralegal,45%,183,1731,0.1057192374350086,Hospitality,,,10-12 years,
Trademark Paralegal,45%,192,1837,0.1045182362547632,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Healthcare Analyst,45%,623,1952,0.3191598360655737,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",7-10 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Medical Administrator,45%,521,1676,0.3108591885441527,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",7-10 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Medical Office Administrator,45%,544,1812,0.3002207505518763,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",7-10 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Medical Records Clerk,45%,569,1830,0.3109289617486339,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",7-10 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Medical Records Technician,45%,568,1830,0.3103825136612022,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,7-10 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Pharmacy Clerk,45%,66,433,0.1524249422632794,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Buyer,45%,607,2062,0.2943743937924345,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Export Coordinator,45%,557,1750,0.3182857142857143,Sales & Marketing,,,7-10 years,
Inventory Controller,45%,550,1699,0.3237198351971748,Hospitality,,,7-10 years,
Inventory Coordinator,45%,546,1664,0.328125,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",7-10 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Logistics Associate,45%,518,1647,0.3145112325440194,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",7-10 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Shipping Supervisor,45%,191,1812,0.1054083885209713,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Assistant Account Executive,45%,677,2220,0.3049549549549549,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",7-10 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Associate Editor,45%,717,2474,0.2898140662894098,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Broadcast Technician,45%,625,2565,0.2436647173489278,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Content Editor,45%,838,3084,0.2717250324254215,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Transcriptionist,45%,187,1764,0.1060090702947845,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Qa Engineer,45%,169,1722,0.0981416957026713,Sales & Marketing,,,10-12 years,
Warehouse Packer,45%,113,1239,0.0912025827280064,Hospitality,,,10-12 years,
Warehouse Picker,45%,114,1242,0.0917874396135265,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Warehouse Selector,45%,114,1242,0.0917874396135265,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Management Consulting,45%,536,1784,0.3004484304932735,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",7-10 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Principal Consultant,45%,207,1899,0.1090047393364928,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Senior Consultant,45%,207,1897,0.1091196626251976,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Strategy Consultant,45%,207,1907,0.1085474567383324,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Assistant Brand Manager,45%,833,2992,0.2784090909090909,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Assistant Marketing Manager,45%,841,3003,0.28005328005328,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Associate Brand Manager,45%,834,2991,0.2788365095285857,Sales & Marketing,,,10-12 years,
Associate Marketing Manager,45%,834,2992,0.2787433155080214,Hospitality,,,10-12 years,
Brand Manager,45%,862,2975,0.2897478991596638,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Brand Marketing Manager,45%,862,2976,0.2896505376344086,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Director Of Digital Marketing,45%,847,2963,0.2858589267634154,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Director Of Marketing,45%,792,2879,0.2750955192775269,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Marketing,45%,863,3239,0.2664402593393022,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Marketing Account Executive,45%,860,3234,0.2659245516388373,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Marketing Account Manager,45%,866,3262,0.2654812998160638,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Marketing Director,45%,885,3293,0.2687518979653811,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Marketing Executive,45%,894,3311,0.2700090607067351,Sales & Marketing,,,10-12 years,
Marketing Manager,45%,893,3300,0.2706060606060606,Hospitality,,,10-12 years,
Senior Marketing Manager,45%,226,2031,0.1112752338749384,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Social Media Marketing Manager,45%,256,2272,0.1126760563380281,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Agile Project Manager,45%,629,2096,0.3000954198473282,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",7-10 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Director Of Product Management,45%,707,2321,0.3046100818612667,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",7-10 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Pmo Analyst,45%,204,1871,0.1090326028861571,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Product Development Manager,45%,226,1981,0.1140837960625946,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
